doi,doi_agency_id,doi_agency_label
10.2377/0023-2076-63-176,medra,mEDRA
10.5018/economics-ejournal.ja.2018-22,NA,NA
10.2377/0023-2076-63-198,medra,mEDRA
10.1016/j/jcis.2018.03.103,NA,NA
10.1016/j.internet.2017.12.013,NA,NA
10.5018/economics-ejoumal.ja.2018-21,NA,NA
10.1111/j.1610-0387.2005.04087.x,NA,NA
10.1016/j.day.2018.01.012,NA,NA
10.1158/0008-5472-can-17-1990,NA,NA
10.1016/j.quaint2013.02.016,NA,NA
10.1016/ijfatigue.2018.02.011,NA,NA
10.1128/iai.00624,NA,NA
10.10164/j.solmat.2018.03.034,NA,NA
10.1103/physrevb.97.20543w,NA,NA
10.23730/s0021-9509.17.09986-4,NA,NA
10.10164/j.marpol.2018.01.020,NA,NA
10.1016/j.dental.2018.03.073,NA,NA
10.1163/1568525x-1234227,NA,NA
10.7554/e.life.27829,NA,NA
10.4323/rjlm.2018.62,NA,NA
10.1016/j.jmbbm.2018.04.006n,NA,NA
10.1021/acsbioconjchem.8b00157,NA,NA
10.1088/1361-651x/aad2oa,NA,NA
10.3290/j.jad.a17715,medra,mEDRA
10.1103/physreva.98.013630;013630,NA,NA
10.1098/rsos.180640;180640,NA,NA
10.3290/j.qi.a32635,medra,mEDRA
10.10164/j.jcrs.2018.01.022,NA,NA
10.2376/0003-925x-69-57,NA,NA
10.1055/5-0032-1325364,NA,NA
10.14348/molcells.2018.2294,kisti,KISTI
10.3290/j.jad.a35255,medra,mEDRA
10.1016/j.chemosphere.2.017.03.074,NA,NA
10.1016/j.childyouth.2017.0.5.019,NA,NA
10.1177/1756285618759895,NA,NA
10.2376/0005-9366-128-240,medra,mEDRA
10.1016/j.eps1.2018.04.002,NA,NA
10.3290/j.jad.a38415,medra,mEDRA
10.4161/rna.v.i.14261,NA,NA
10.1093/nunas/sty1531,NA,NA
10.1177/1756285618759188,NA,NA
10.2376/0003-925x-69-30,NA,NA
10.1399/eps.2018.242,medra,mEDRA
10.4134/bkms.b170483,kisti,KISTI
10.4455/eu.2017.050,medra,mEDRA
10.3389/tnbeh.2015.00235,NA,NA
10.1098/rsos.171742;171742,NA,NA
10.2376/0003-925x-64-43,medra,mEDRA
10.1098/rsos.180207;180207,NA,NA
10.18632/aginh.101501,NA,NA
10.3290/j.qi.a37129,medra,mEDRA
10.1016/j.forpol.2y17.07.007,NA,NA
10.1016/j.ejor.2018.05.022,crossref,Crossref
10.1039/c8an00705e,crossref,Crossref
10.18148/srm/2018.v12i2.7219,datacite,DataCite
10.1093/molbey/msy046,NA,NA
10.1155/2018/1470176,NA,NA
10.23736/s0392-0488.18.05987-4,medra,mEDRA
10.2471/13lt.16.178608,NA,NA
10.19233/ashs.2018.01,medra,mEDRA
10.4049/jimmuno1.1502301,NA,NA
10.3290/j.jad.a38436,medra,mEDRA
10.1016/j.ijadhadh.2018.92.025,NA,NA
10.1016/j.artint.2018.07.001,crossref,Crossref
10.1016/j.jclenro.2017.10.122,NA,NA
10.18148/srm/2018.v12i2.7247,datacite,DataCite
10.18869/acadpub.jafm.73.247.28311,NA,NA
10.1088/1361-6641aad5c4,NA,NA
10.19189/map.2018.omb.340,medra,mEDRA
10.1302/0301-620x.99b6.bjj-20160713.r1,NA,NA
10.1016/j.yexmp2015.03.024,NA,NA
10.3978/j.issn.2072-1439.2012.s006,istic,ISTIC
10.5604/16652681.1212316,NA,NA
10.1039/c8dt01716f,crossref,Crossref
10.13128/acta_herpetol-15142,datacite,DataCite
10.1038/scientificamerican0918-70,NA,NA
10.3290/j.qi.a38161,medra,mEDRA
10.11948/2018.1122,crossref,Crossref
10.12892/ejgo3744.2018,NA,NA
10.1093/mnras/stay1332,NA,NA
10.3339/fncir.2016.00015,NA,NA
10.1016/j_na_2016_02.007,NA,NA
10.1515/anglia-2016-0002,NA,NA
10.4401/ag-6663,medra,mEDRA
10.1515/freq-2014-0120,NA,NA
10.4244/eijv11|10a226,NA,NA
10.1016/j.engfracmech.2016.02.17,NA,NA
10.3290/j.qi.a32818,medra,mEDRA
10.1016/j.fss.2015.06.0210165,NA,NA
10.4401/ag-6681,medra,mEDRA
10.4401/ag-6687,medra,mEDRA
10.4401/ag-6662,medra,mEDRA
10.4401/ag-6682,medra,mEDRA
10.1021/jp510432y,NA,NA
10.7554/elife.08716.001,crossref,Crossref
10.1515/labmed-2015-0093,NA,NA
10.3389/fncel.7015.00095,NA,NA
10.7352/ijsp.2015.46.513,medra,mEDRA
10.4193/rhino14.204,NA,NA
10.4401/ag-6679,medra,mEDRA
10.1515/anglia-2016-0006,NA,NA
10.4401/ag-6692,medra,mEDRA
10.1515/freq-2014-0124,NA,NA
10.1691/ph.2016.5145,medra,mEDRA
10.1055/5-0041-111846,NA,NA
10.2450/2015.0030-15,medra,mEDRA
10.3978/j.issn.2072-1439.2015.12.45,istic,ISTIC
10.5277/abb-00128-2014-04,datacite,DataCite
10.3389/fncel.2015.001,NA,NA
10.1016/j.iss.2016.02.007,NA,NA
10.1055/5-0042-101959,NA,NA
10.1109/asc.2016.2519509,NA,NA
10.1021/acsmacrolett.61300033,NA,NA
10.1515/pz.2013.0001,NA,NA
10.1695/2015004,medra,mEDRA
10.4416/jcst2015-00026,medra,mEDRA
10.4193/rhino15.002,NA,NA
10.1695/2015002,medra,mEDRA
10.1016/s0065-2504(10)42002-4,NA,NA
10.1691/ph.2016.5835,medra,mEDRA
10.1111/ddr.21236,NA,NA
