domains,opendoar_inst,opendoar_other,opendoar_subject,other_repo
opus.bibliothek.uni-wuerzburg.de,4171,0,0,0
publications.rwth-aachen.de,4102,0,0,0
research-collection.ethz.ch,4092,0,0,0
archiv.ub.uni-heidelberg.de,4082,0,4082,0
epic.awi.de,4054,0,0,0
eprints.soton.ac.uk,3997,0,0,0
gfzpublic.gfz-potsdam.de,3811,0,0,0
bora.uib.no,3751,0,0,0
ri.conicet.gov.ar,3707,0,0,0
oaktrust.library.tamu.edu,3682,0,0,0
edoc.mpg.de,3647,0,0,0
digital.library.adelaide.edu.au,3505,0,0,0
epub.uni-regensburg.de,3490,0,0,0
doc.rero.ch,3385,0,0,0
diposit.ub.edu,3351,0,0,0
repository.cam.ac.uk,3290,0,0,0
scholarship.rice.edu,3264,0,0,0
openaccess.iyte.edu.tr,3090,0,0,0
qmro.qmul.ac.uk,2934,0,0,0
kuscholarworks.ku.edu,2900,0,0,0
pub.uni-bielefeld.de,2854,0,0,0
repo.uni-hannover.de,2834,0,0,0
dspace.library.uu.nl,2810,0,0,0
repub.eur.nl,2689,0,0,0
eprints.nottingham.ac.uk,2616,0,0,0
digibuo.uniovi.es,2587,0,0,0
openaccess.leidenuniv.nl,2409,0,0,0
edoc.rki.de,2407,0,0,0
bir.brandeis.edu,2255,0,0,0
iris.uniroma1.it,2244,0,0,0
researchportal.port.ac.uk,2212,0,0,0
push-zb.helmholtz-muenchen.de,2193,0,0,0
aisberg.unibg.it,2103,0,0,0
minerva-access.unimelb.edu.au,1931,0,0,0
research.manchester.ac.uk,1926,0,0,0
research-repository.st-andrews.ac.uk,1922,0,0,0
depositonce.tu-berlin.de,1790,0,0,0
lup.lub.lu.se,1780,0,0,0
openaccess.sgul.ac.uk,1775,0,0,0
fulir.irb.hr,1736,0,0,0
orbi.uliege.be,1668,0,0,0
eprints.ucm.es,1633,0,0,0
arts.units.it,1602,0,0,0
repositorio.unican.es,1565,0,0,0
nora.nerc.ac.uk,1551,0,0,0
tud.qucosa.de,1476,0,0,0
repository.arizona.edu,1475,0,0,0
infoscience.epfl.ch,1443,0,0,0
eprint.ncl.ac.uk,1431,0,0,0
opus.bibliothek.uni-augsburg.de,1430,0,0,0
real.mtak.hu,1396,0,0,0
hal-insu.archives-ouvertes.fr,1375,23,0,0
hal.sorbonne-universite.fr,1372,7,0,0
publications.lib.chalmers.se,1372,0,0,30
researchonline.lshtm.ac.uk,1337,0,0,0
freidok.uni-freiburg.de,1328,0,0,0
research.aalto.fi,1324,0,0,0
backend.orbit.dtu.dk,1282,0,0,1127
researchonline.ljmu.ac.uk,1277,0,0,0
centaur.reading.ac.uk,1267,0,0,0
research.vu.nl,1260,0,0,0
aura.abdn.ac.uk,1209,0,0,0
uhra.herts.ac.uk,1203,0,0,0
digital.library.unt.edu,1193,0,0,0
repository.gsi.de,1191,0,0,0
ore.exeter.ac.uk,1189,0,0,0
hal.inserm.fr,1091,1,0,0
hal.inria.fr,1083,0,0,0
edoc.unibas.ch,1080,0,0,0
researchbank.swinburne.edu.au,1078,0,0,0
discovery.dundee.ac.uk,1037,0,0,0
strathprints.strath.ac.uk,1022,0,0,0
hal-cea.archives-ouvertes.fr,995,9,0,0
ueaeprints.uea.ac.uk,990,0,0,0
espace.library.uq.edu.au,969,0,0,0
research-information.bristol.ac.uk,967,0,0,0
umu.diva-portal.org,962,0,0,0
repositori.upf.edu,948,0,0,0
hal.in2p3.fr,927,0,0,0
pure.au.dk,902,0,0,0
pureadmin.qub.ac.uk,890,0,0,421
krex.k-state.edu,884,0,0,0
pure.tue.nl,858,0,0,0
munin.uit.no,831,0,0,0
epubs.surrey.ac.uk,829,0,0,0
liu.diva-portal.org,826,0,0,0
digibug.ugr.es,811,0,0,0
ddd.uab.cat,801,0,0,0
helmholtz-berlin.de,801,0,0,0
orbilu.uni.lu,783,0,0,0
repository.tudelft.nl,769,0,0,0
edoc.hu-berlin.de,768,0,0,0
dspace.library.uvic.ca,749,0,0,0
archimer.ifremer.fr,732,0,0,0
ul.qucosa.de,725,0,0,0
ris.utwente.nl,694,0,0,0
oro.open.ac.uk,680,0,0,0
espace.curtin.edu.au,665,0,0,0
tara.tcd.ie,660,0,0,0
flore.unifi.it,651,0,0,0
repository.up.ac.za,650,0,0,0
pure.knaw.nl,647,0,0,0
repository.kaust.edu.sa,631,0,0,0
kar.kent.ac.uk,625,0,0,0
research-repository.griffith.edu.au,609,0,0,0
fox.leuphana.de,606,0,0,0
digitalcommons.unl.edu,600,0,0,0
univoak.eu,588,0,0,0
dea.lib.unideb.hu,585,0,0,0
eldorado.tu-dortmund.de,585,0,0,0
prodinra.inra.fr,584,0,0,0
lume.ufrgs.br,570,0,0,0
ro.uow.edu.au,557,0,0,0
re.public.polimi.it,552,0,0,0
openaccess.city.ac.uk,546,0,0,0
scholar.sun.ac.za,542,0,0,0
trepo.tuni.fi,542,0,0,0
tore.tuhh.de,541,0,0,0
cronfa.swan.ac.uk,538,0,0,0
tspace.library.utoronto.ca,516,0,0,0
darchive.mblwhoilibrary.org,508,0,0,0
pure.iiasa.ac.at,506,0,0,0
repository.kulib.kyoto-u.ac.jp,504,0,0,0
ncbi.nlm.nih.gov,489,1,254644,0
iris.unimore.it,485,0,0,0
air.uniud.it,484,0,0,0
erepo.uef.fi,482,0,0,0
findresearcher.sdu.dk,480,0,0,0
ntnuopen.ntnu.no,479,0,0,0
arxiv.org,476,1,160921,0
opus.lib.uts.edu.au,474,0,0,0
research-information.bris.ac.uk,474,0,0,2277
pearl.plymouth.ac.uk,452,0,0,0
research.unipd.it,449,0,0,0
eprints.keele.ac.uk,440,0,0,0
repository.lboro.ac.uk,440,0,0,0
deepblue.lib.umich.edu,427,0,0,0
art.torvergata.it,426,0,0,0
mpra.ub.uni-muenchen.de,414,0,0,0
eprints.lse.ac.uk,412,0,0,0
e-docs.geo-leo.de,398,0,0,0
zaguan.unizar.es,392,0,0,0
epub.uni-bayreuth.de,389,0,0,0
dspace.stir.ac.uk,386,0,0,0
iris.unipa.it,382,0,0,0
hvlopen.brage.unit.no,381,0,0,0
hal-pasteur.archives-ouvertes.fr,380,0,0,0
repo.lib.semmelweis.hu,370,0,0,0
hal-amu.archives-ouvertes.fr,369,25,0,0
scholarworks.iu.edu,368,0,0,0
scholarworks.iupui.edu,358,0,0,0
repository.essex.ac.uk,357,0,0,0
europepmc.org,346,0,200435,0
hss-opus.ub.ruhr-uni-bochum.de,342,0,0,0
riunet.upv.es,340,0,0,0
sedici.unlp.edu.ar,338,0,0,0
estudogeral.sib.uc.pt,334,0,0,0
oops.uni-oldenburg.de,325,0,0,0
jyx.jyu.fi,316,0,0,0
academiccommons.columbia.edu,312,0,0,0
hal-univ-rennes1.archives-ouvertes.fr,307,18,0,0
nrl.northumbria.ac.uk,305,0,0,0
repositorium.uni-muenster.de,302,0,0,915
iris.unica.it,300,0,0,0
madoc.bib.uni-mannheim.de,298,0,0,0
repository.bilkent.edu.tr,296,0,0,0
hirsla.lsh.is,295,0,0,0
vbn.aau.dk,295,0,0,0
doiserbia.nb.rs,294,0,0,0
publikationsserver.tu-braunschweig.de,293,0,0,0
vtechworks.lib.vt.edu,290,0,0,0
publicatio.bibl.u-szeged.hu,287,0,0,0
dukespace.lib.duke.edu,283,0,0,0
ir.canterbury.ac.nz,281,0,0,0
lib.dr.iastate.edu,279,0,0,0
works.bepress.com,279,0,0,0
openpub.fmach.it,274,0,0,0
research.chalmers.se,269,0,0,0
macau.uni-kiel.de,268,0,0,0
openarchive.usn.no,268,0,0,0
jultika.oulu.fi,266,0,0,0
researchrepository.murdoch.edu.au,264,0,0,0
eprints.lincoln.ac.uk,263,0,0,0
uknowledge.uky.edu,262,0,0,0
cris.unibo.it,259,0,0,0
repository.ust.hk,255,0,0,0
clok.uclan.ac.uk,254,0,0,0
repositories.lib.utexas.edu,246,0,0,0
plymsea.ac.uk,242,0,0,0
idus.us.es,232,0,0,0
digitalcommons.wustl.edu,231,0,0,0
eprints.bbk.ac.uk,227,0,0,0
opinvisindi.is,226,0,0,0
oa.upm.es,225,0,0,0
dspace.lib.cranfield.ac.uk,224,0,0,0
irep.ntu.ac.uk,223,0,0,0
e-space.mmu.ac.uk,221,0,0,0
elib.uni-stuttgart.de,221,0,0,0
eprints.utas.edu.au,218,0,0,0
nilu.brage.unit.no,216,0,0,0
boa.unimib.it,213,0,0,0
monarch.qucosa.de,213,0,0,0
api.research-repository.uwa.edu.au,212,0,0,48
eprints.maynoothuniversity.ie,210,0,0,0
scholarworks.montana.edu,210,0,0,0
elar.urfu.ru,209,0,0,0
fhi.brage.unit.no,209,0,0,0
eprints.iisc.ac.in,208,0,0,0
agritrop.cirad.fr,206,0,0,0
research.bangor.ac.uk,203,0,0,0
pure.uvt.nl,202,0,0,0
eprints.lib.hokudai.ac.jp,200,0,0,0
openarchive.ki.se,195,0,0,0
eprints.bournemouth.ac.uk,193,0,0,0
escholarship.umassmed.edu,192,0,0,0
digitalcommons.kennesaw.edu,190,0,0,0
nrc-publications.canada.ca,190,0,0,0
pure.qub.ac.uk,184,0,0,0
alexandria.unisg.ch,182,0,0,0
cgspace.cgiar.org,182,0,0,0
hal.upmc.fr,181,0,0,0
run.unl.pt,181,0,0,0
repository.asu.edu,178,0,0,0
nmbu.brage.unit.no,174,0,0,0
rua.ua.es,174,0,0,0
sapientia.ualg.pt,173,0,0,0
scholarworks.utrgv.edu,171,0,0,0
d-scholarship.pitt.edu,169,0,0,0
researchbank.acu.edu.au,167,0,0,0
kluedo.ub.uni-kl.de,166,0,0,0
iris.unibs.it,162,0,0,0
earchive.tpu.ru,161,0,0,0
addi.ehu.es,158,0,0,0
oar.icrisat.org,158,0,0,0
usiena-air.unisi.it,157,0,0,0
scholarworks.wm.edu,153,0,0,0
du.diva-portal.org,150,0,0,0
eprints.mdx.ac.uk,149,0,0,0
kups.ub.uni-koeln.de,148,0,0,0
researchonline.rvc.ac.uk,147,0,0,0
ria.ua.pt,147,0,0,0
eprints.usq.edu.au,146,0,0,0
dspace.flinders.edu.au,145,0,0,0
oatao.univ-toulouse.fr,145,0,0,0
dro.deakin.edu.au,142,0,0,0
eresearch.ozyegin.edu.tr,142,0,0,0
raiith.iith.ac.in,140,0,0,0
dk.um.si,138,0,0,0
digitalcollection.zhaw.ch,137,0,0,0
eprints.hud.ac.uk,137,0,0,0
oparu.uni-ulm.de,135,0,0,0
researchrepository.ucd.ie,134,0,0,0
cadmus.eui.eu,133,0,0,0
tuprints.ulb.tu-darmstadt.de,133,0,0,0
publikationen.sulb.uni-saarland.de,130,0,0,0
digitalcommons.odu.edu,128,0,0,0
halshs.archives-ouvertes.fr,128,1,126,0
rebus.us.edu.pl,128,0,0,0
hal.umontpellier.fr,126,0,0,0
repositorio-aberto.up.pt,126,0,0,0
repositorio.aemet.es,126,0,0,0
uni-marburg.de,126,0,0,0
iris.polito.it,125,0,0,0
open.uct.ac.za,125,0,0,0
edoc.ub.uni-muenchen.de,124,0,0,0
repository.uel.ac.uk,124,0,0,0
iris.unige.it,119,0,0,0
gala.gre.ac.uk,118,0,0,0
su.diva-portal.org,118,0,0,0
iris.unive.it,117,0,0,0
pub.epsilon.slu.se,117,0,0,0
irinsubria.uninsubria.it,116,0,0,0
oasis.postech.ac.kr,116,0,0,0
eprints.qut.edu.au,115,0,0,0
openaccessrepository.it,111,0,0,0
repositorio.insa.pt,110,0,0,0
repositori.udl.cat,109,0,0,0
academicworks.cuny.edu,105,0,0,0
hal.univ-lorraine.fr,105,0,0,0
kth.diva-portal.org,105,0,0,0
dspace.uevora.pt,104,0,0,0
dadun.unav.edu,103,0,0,0
miun.diva-portal.org,103,0,0,0
cris.maastrichtuniversity.nl,102,0,0,0
medlib.mef.hr,102,0,0,0
repositorio.ul.pt,101,0,0,0
eprints.ibb.waw.pl,100,0,0,0
orbit.dtu.dk,97,0,0,0
nhm.openrepository.com,96,0,0,0
repository.hanyang.ac.kr,96,0,0,0
epub.wu.ac.at,94,0,0,0
open.bu.edu,94,0,0,0
scholarworks.unist.ac.kr,94,0,0,0
ulir.ul.ie,94,0,0,0
fieldresearch.msf.org,93,0,0,0
repository.cshl.edu,93,0,0,0
jdc.jefferson.edu,91,0,0,0
radar.brookes.ac.uk,91,0,0,0
e-archivo.uc3m.es,89,0,0,0
rde.dspace-express.com,89,0,0,0
arca.igc.gulbenkian.pt,86,0,0,0
digitalcommons.uri.edu,86,0,0,0
research.gold.ac.uk,84,0,0,0
bradscholars.brad.ac.uk,83,0,0,0
pubblicazioni.unicam.it,83,0,0,0
aran.library.nuigalway.ie,82,0,0,0
espace.inrs.ca,79,0,0,0
repository.upenn.edu,79,0,0,0
imr.brage.unit.no,78,0,0,0
arca.fiocruz.br,77,0,0,0
arro.anglia.ac.uk,77,0,0,0
elib.sfu-kras.ru,74,0,0,0
epublications.marquette.edu,74,0,0,0
repositorio.chlc.min-saude.pt,74,0,0,0
conservancy.umn.edu,73,0,0,0
um.edu.mt,73,0,0,0
researchrepository.wvu.edu,72,0,0,0
digitalcommons.usu.edu,71,0,0,0
ir.library.carleton.ca,71,0,0,0
repository.uwc.ac.za,71,0,0,0
cdr.lib.unc.edu,70,0,0,0
openrepository.aut.ac.nz,70,0,0,0
repository.naturalis.nl,70,0,0,0
researchcommons.waikato.ac.nz,70,0,0,0
shura.shu.ac.uk,70,0,0,0
differ.nl,69,0,0,0
jukuri.luke.fi,69,0,0,0
rivm.openrepository.com,69,0,0,0
aaltodoc.aalto.fi,67,0,0,0
stars.library.ucf.edu,67,0,0,0
repositorio.unab.cl,66,0,0,0
archive.lstmed.ac.uk,65,0,0,0
iu.tind.io,65,0,0,0
usir.salford.ac.uk,65,0,0,0
publicatt.unicatt.it,64,0,0,0
rabida.uhu.es,64,0,0,0
epub.wupperinst.org,63,0,0,0
scholarscompass.vcu.edu,63,0,0,0
dspace.spbu.ru,62,0,0,0
publications.aston.ac.uk,62,1,0,0
dugi-doc.udg.edu,61,0,0,0
ecnis.openrepository.com,60,0,0,0
repozitorij.uni-lj.si,59,0,0,0
uwe-repository.worktribe.com,59,0,0,0
repositorio.iscte-iul.pt,58,0,0,0
repositorio.unifesp.br,58,0,0,0
eprints.ugd.edu.mk,57,0,0,0
ids-pub.bsz-bw.de,57,0,0,0
constellation.uqac.ca,56,0,0,0
dspace.ucuenca.edu.ec,56,0,0,0
niva.brage.unit.no,56,0,0,0
ro.ecu.edu.au,56,0,0,0
digitalcommons.chapman.edu,55,0,0,0
eprints.kingston.ac.uk,55,0,0,0
ibiss-r.rcub.bg.ac.rs,55,0,0,0
library.wur.nl,55,0,0,0
meetingorganizer.copernicus.org,55,1,0,11
uvadoc.uva.es,55,0,0,0
brage.nina.no,54,0,0,0
repositorio.cuc.edu.co,54,0,0,0
curve.coventry.ac.uk,53,0,0,0
eprints.worc.ac.uk,53,0,0,0
openknowledge.worldbank.org,53,0,0,0
arrow.dit.ie,52,0,0,0
publikationen.reutlingen-university.de,52,0,0,0
serwiss.bib.hs-hannover.de,52,0,0,0
dspace5.zcu.cz,51,0,0,0
euro-fusionscipub.org,51,0,0,439
hal-univ-bourgogne.archives-ouvertes.fr,51,0,0,0
ir.ymlib.yonsei.ac.kr,51,0,0,0
oru.diva-portal.org,51,0,0,0
researcharchive.lincoln.ac.nz,51,0,0,0
digitalcommons.fiu.edu,50,0,0,0
gredos.usal.es,50,0,0,0
ir.lib.hiroshima-u.ac.jp,50,0,0,0
open-access.bcu.ac.uk,50,0,0,0
s-space.snu.ac.kr,50,0,0,0
irihs.ihs.ac.at,49,0,0,0
repository.rothamsted.ac.uk,49,0,0,0
works.swarthmore.edu,49,0,0,0
ses.library.usyd.edu.au,48,0,0,0
e-pub.uni-weimar.de,47,0,0,0
kerwa.ucr.ac.cr,47,0,0,0
researchonline.gcu.ac.uk,47,0,0,0
t-stor.teagasc.ie,47,0,0,0
cherry.chem.bg.ac.rs,46,0,0,0
ir.lib.uwo.ca,46,0,0,0
scholarworks.umass.edu,46,0,46,0
eprints.lancs.ac.uk,45,0,0,0
nature.com,45,0,0,365
cer.ihtm.bg.ac.rs,44,0,0,0
e.bangor.ac.uk,44,0,0,0
colibri.udelar.edu.uy,43,0,0,0
scholar.colorado.edu,43,0,0,0
hal-polytechnique.archives-ouvertes.fr,42,0,0,0
nih.brage.unit.no,42,0,0,0
oda.hioa.no,42,0,0,0
summit.sfu.ca,42,0,0,0
de.arxiv.org,41,0,0,10
link.springer.com,41,0,0,9308
repository.utl.pt,41,0,0,0
sam.ensam.eu,41,0,0,0
scholarcommons.usf.edu,41,0,0,0
gupea.ub.gu.se,40,0,0,0
nur.nu.edu.kz,40,0,0,0
pdxscholar.library.pdx.edu,40,0,0,0
biopen.bi.no,39,0,0,0
papyrus.bib.umontreal.ca,39,0,0,0
research-explorer.app.ist.ac.at,39,0,0,0
rihuc.huc.min-saude.pt,39,0,0,0
docs.lib.purdue.edu,38,0,0,0
doras.dcu.ie,38,0,0,0
prism.ucalgary.ca,38,0,0,0
tigerprints.clemson.edu,38,0,0,0
hj.diva-portal.org,37,0,0,0
psasir.upm.edu.my,37,0,0,0
researchonline.federation.edu.au,37,0,0,0
basepub.dauphine.fr,36,0,0,0
drops.dagstuhl.de,36,0,0,0
econstor.eu,36,0,11487,0
era.ed.ac.uk,36,0,0,0
hal-mines-paristech.archives-ouvertes.fr,36,0,0,0
igpm.rwth-aachen.de,36,0,0,13
ir.yic.ac.cn,36,0,0,0
lnu.diva-portal.org,36,0,0,0
pub.h-brs.de,36,0,0,0
pure.roehampton.ac.uk,36,0,0,0
engagedscholarship.csuohio.edu,35,0,0,0
espace.cdu.edu.au,35,0,0,0
iop.org,35,0,0,3
mountainscholar.org,35,0,0,0
repositorio.ufba.br,35,0,0,0
ruor.uottawa.ca,35,0,0,0
ruc.udc.es,34,0,0,0
ir.library.louisville.edu,33,0,0,0
naosite.lb.nagasaki-u.ac.jp,32,0,0,0
shareok.org,32,0,0,0
hal-enpc.archives-ouvertes.fr,31,0,0,0
lib.kobe-u.ac.jp,31,0,0,0
research.library.mun.ca,31,0,0,0
eprints.uanl.mx,30,0,0,0
ira.lib.polyu.edu.hk,30,0,0,0
mspace.lib.umanitoba.ca,30,0,0,0
nifs-repository.repo.nii.ac.jp,30,0,0,0
publications.ut-capitole.fr,30,0,0,0
recipp.ipp.pt,30,0,0,0
repositorio.lneg.pt,30,0,0,0
repository.si.edu,30,0,0,0
scholars.unh.edu,30,0,0,0
sintef.brage.unit.no,30,0,0,0
bird.bcamath.org,29,0,0,0
digitalscholarship.unlv.edu,29,0,0,0
docs.rwu.edu,29,0,0,0
dora.dmu.ac.uk,29,0,0,0
e-archive.informatik.uni-koeln.de,29,0,0,0
hal-obspm.ccsd.cnrs.fr,29,0,0,0
kau.diva-portal.org,29,0,0,0
ora.ox.ac.uk,29,0,0,0
digitalcommons.wayne.edu,28,0,0,0
opus.htwg-konstanz.de,28,0,0,0
repositorio.ipl.pt,28,0,0,0
ubt.opus.hbz-nrw.de,28,0,0,0
uia.brage.unit.no,28,0,0,0
arrow.tudublin.ie,27,0,0,25
dsp.tecnalia.com,27,0,0,0
hal-ens-lyon.archives-ouvertes.fr,27,0,0,0
iopscience.iop.org,27,0,0,1511
bibliotecadigital.ipb.pt,26,0,0,0
digital.bl.fcen.uba.ar,26,0,0,0
hal-anses.archives-ouvertes.fr,26,0,0,0
hesso.tind.io,26,0,0,0
napier.ac.uk,26,0,0,0
unsworks.unsw.edu.au,26,0,0,0
academica-e.unavarra.es,25,0,0,0
bigepfl.ch,25,0,0,0
repository.nms.ac.uk,25,0,0,0
uwspace.uwaterloo.ca,25,0,0,0
amsacta.unibo.it,24,0,0,0
dspace.uni.lodz.pl,24,0,0,0
ediss.uni-goettingen.de,24,0,0,0
eprints.uniss.it,24,0,0,0
repositori.irta.cat,24,0,0,0
repository.lib.ncsu.edu,24,0,0,0
scholarworks.csun.edu,24,0,0,0
spectrum.library.concordia.ca,24,0,0,0
vuir.vu.edu.au,24,0,0,0
wlv.openrepository.com,24,0,0,0
biomedcentral.com,23,0,0,45
elpub.bib.uni-wuppertal.de,23,0,0,0
eprints.imtlucca.it,23,0,0,0
pub.cicero.oslo.no,23,0,0,0
repositorio.uca.edu.ar,23,0,0,0
scholarworks.boisestate.edu,23,0,0,0
umpir.ump.edu.my,23,0,0,0
dspace.library.iitb.ac.in,22,0,0,0
dspace.vsb.cz,22,0,0,0
eprints.glos.ac.uk,22,0,0,0
eprints.leedsbeckett.ac.uk,22,0,0,0
farfar.pharmacy.bg.ac.rs,22,0,0,0
hal-normandie-univ.archives-ouvertes.fr,22,1,0,0
hal-univ-tlse2.archives-ouvertes.fr,22,0,0,0
openaccess.uoc.edu,22,0,0,0
repositorioinstitucional.ceu.es,22,0,0,0
repository.hkbu.edu.hk,22,0,0,0
repository.unhas.ac.id,22,0,0,0
digitalcommons.unmc.edu,21,0,0,0
oar.marine.ie,21,0,0,0
repositorio.unb.br,21,0,0,0
researchonline.jcu.edu.au,21,0,0,0
sure.sunderland.ac.uk,21,0,0,0
archipel.uqam.ca,20,0,0,0
digitalcommons.calpoly.edu,20,0,0,0
ecommons.cornell.edu,20,0,0,0
repositorio.uac.pt,20,0,0,0
uobrep.openrepository.com,20,0,0,0
corpus.ulaval.ca,19,0,0,0
ecommons.aku.edu,19,0,0,0
ngi.brage.unit.no,19,0,0,0
preprints.acmac.uoc.gr,19,0,0,0
spire.sciencespo.fr,19,0,0,0
archive.nyu.edu,18,0,0,0
chesterrep.openrepository.com,18,0,0,0
citarea.cita-aragon.es,18,0,0,0
commons.erau.edu,18,0,0,0
dspace.bsu.edu.ru,18,0,0,0
qspace.qu.edu.qa,18,0,0,0
repositorio.ucp.pt,18,0,0,0
touroscholar.touro.edu,18,0,0,0
brage.inn.no,17,0,0,0
duepublico2.uni-due.de,17,0,0,0
eprints.bpums.ac.ir,17,0,0,0
hal.insa-toulouse.fr,17,0,0,0
helvia.uco.es,17,0,0,0
openaccess.nhh.no,17,0,0,0
rep.bntu.by,17,0,0,0
rodin.uca.es,17,0,0,0
scholarcommons.scu.edu,17,0,0,0
derby.openrepository.com,16,0,0,0
elib.bsu.by,16,0,0,0
hira.hope.ac.uk,16,0,0,0
kb.osu.edu,16,0,0,0
nsuworks.nova.edu,16,0,0,0
ousar.lib.okayama-u.ac.jp,16,0,0,0
repositorio.chporto.pt,16,0,0,0
repository.cardiffmet.ac.uk,16,0,0,0
repository.edulll.gr,16,0,0,0
ife.brage.unit.no,15,0,0,0
mpifg.de,15,0,0,0
repositorio.ufrn.br,15,0,0,0
breast-cancer-research.com,14,0,0,3
hal-ujm.archives-ouvertes.fr,14,0,0,0
nordopen.nord.no,14,0,0,0
repositorioaberto.uab.pt,14,0,0,0
repository.kribb.re.kr,14,0,0,0
scholarspace.manoa.hawaii.edu,14,0,0,0
ssb.brage.unit.no,14,0,0,0
archiv.ub.uni-marburg.de,13,0,0,0
eprints.dbges.de,13,0,0,0
hal-upec-upem.archives-ouvertes.fr,13,0,0,0
hmg.oxfordjournals.org,13,0,0,114
ir-library.ku.ac.ke,13,0,0,0
iris.inrim.it,13,0,0,0
nofima.brage.unit.no,13,0,0,0
qspace.library.queensu.ca,13,0,0,0
riubu.ubu.es,13,0,0,0
scholarsarchive.byu.edu,13,0,0,0
scholarworks.gvsu.edu,13,0,0,0
uis.brage.unit.no,13,0,0,0
dlisv03.media.osaka-cu.ac.jp,12,0,0,0
dspace.cvut.cz,12,0,0,0
openlib.tugraz.at,12,0,0,0
pure.hud.ac.uk,12,0,0,0
repositorio.tec.mx,12,0,0,0
research-api.cbs.dk,12,0,0,90
researchspace.bathspa.ac.uk,12,0,0,0
soar-ir.repo.nii.ac.jp,12,0,0,0
cancerres.aacrjournals.org,11,0,0,44
dehesa.unex.es,11,0,0,0
dune.une.edu,11,0,0,0
fni.brage.unit.no,11,0,0,0
hal.univ-brest.fr,11,1,0,0
hal.univ-lille.fr,11,0,0,0
repositorio.ispa.pt,11,0,0,0
repositoriotec.tec.ac.cr,11,0,0,0
repository.uwl.ac.uk,11,0,0,0
revistas.ucm.es,11,0,0,0
scholar.uwindsor.ca,11,0,0,0
surface.syr.edu,11,0,0,0
create.canterbury.ac.uk,10,0,0,0
cupola.gettysburg.edu,10,0,0,0
digitalcommons.bucknell.edu,10,0,0,0
eprints.ma.man.ac.uk,10,0,0,0
eprints.staffs.ac.uk,10,0,0,0
hal.univ-grenoble-alpes.fr,10,0,0,0
hermes-ir.lib.hit-u.ac.jp,10,0,0,0
ir.library.osaka-u.ac.jp,10,0,0,0
jnci.oxfordjournals.org,10,0,0,9
kanazawa-u.repo.nii.ac.jp,10,0,0,0
minerva.usc.es,10,0,0,0
opendata.uni-halle.de,10,0,0,0
pubs.acs.org,10,1,0,76
repo.kscnet.ru,10,0,0,0
repositorio.uchile.cl,10,0,0,0
repozitorij.fsb.hr,10,0,0,0
research.tees.ac.uk,10,0,0,0
researchonline.nd.edu.au,10,0,0,0
rigeo.cprm.gov.br,10,0,0,0
scholarworks.gsu.edu,10,0,0,0
soar.wichita.edu,10,0,0,0
aanda.org,9,0,8,9106
abacus.universidadeuropea.es,9,0,0,0
bdigital.unal.edu.co,9,0,0,0
dais.sanu.ac.rs,9,0,0,0
edoc.bbaw.de,9,0,0,0
eprints.um.edu.my,9,0,0,0
essuir.sumdu.edu.ua,9,0,0,0
ideals.illinois.edu,9,0,0,0
openarchive.cbs.dk,9,0,0,0
openscholarship.wustl.edu,9,0,0,0
publikationen.uni-tuebingen.de,9,0,0,0
